trial,prompt_text,expected_action,llm_action,schema_valid,latency_ms,prompt_tokens,completion_tokens,raw_json_output
1,Quiero que me dibujes un pato en una moto en el centro,draw,draw,True,667.6425933837891,630,62,"{
  ""objects"": [
       {""name"": ""duck"", ""position"": ""center"", ""action"": ""riding"", ""relative_to"": ""on a motorcycle""},
       {""name"": ""motorcycle"", ""position"": ""center"", ""action"": null, ""relative_to"": null}
   ]
}"
2,un perro corriendo a la izquierda y un gato durmiendo,draw,draw,True,515.7513618469238,631,59,"{
  ""objects"": [
       {""name"": ""dog"", ""position"": ""left"", ""action"": ""running"", ""relative_to"": null},
       {""name"": ""cat"", ""position"": null, ""action"": ""sleeping"", ""relative_to"": null}
   ]
}"
3,dibujame un coche a la derecha y un pajaro volando sobre un arbol arriba,draw,draw,True,612.994909286499,637,86,"{
  ""objects"": [
       {""name"": ""car"", ""position"": ""right"", ""action"": null, ""relative_to"": null},
       {""name"": ""bird"", ""position"": ""top"", ""action"": ""flying"", ""relative_to"": ""over a tree""},
       {""name"": ""tree"", ""position"": ""top"", ""action"": null, ""relative_to"": null}
   ]
}"
4,pinta una manzana roja... no mejor dibuja un coche azul en el centro,draw,draw,True,528.0241966247559,635,33,"{
  ""objects"": [
       {""name"": ""car"", ""position"": ""center"", ""action"": null, ""relative_to"": null}
   ]
}"
5,dibuja un astronauta flotando a la derecha,draw,draw,True,328.1543254852295,627,35,"{
  ""objects"": [
       {""name"": ""astronaut"", ""position"": ""right"", ""action"": ""floating"", ""relative_to"": null}
   ]
}"
6,traza un circulo en el centro y pon un cuadrado adentro de el,draw,draw,True,361.94372177124023,633,60,"{
  ""objects"": [
       {""name"": ""circle"", ""position"": ""center"", ""action"": null, ""relative_to"": null},
       {""name"": ""square"", ""position"": ""center"", ""action"": null, ""relative_to"": ""inside a circle""}
   ]
}"
7,quiero ver un barco navegando en el mar abajo en el lienzo,draw,draw,True,470.31259536743164,631,62,"{
  ""objects"": [
       {""name"": ""boat"", ""position"": ""bottom"", ""action"": ""sailing"", ""relative_to"": ""in the sea""},
       {""name"": ""sea"", ""position"": ""bottom"", ""action"": null, ""relative_to"": null}
   ]
}"
8,esboza un caballo saltando sobre una valla a la izquierda,draw,draw,True,417.7711009979248,630,63,"{
  ""objects"": [
       {""name"": ""horse"", ""position"": ""left"", ""action"": ""jumping"", ""relative_to"": ""over a fence""},
       {""name"": ""fence"", ""position"": ""left"", ""action"": null, ""relative_to"": null}
   ]
}"
9,pinta un avion volando en las nubes arriba,draw,draw,True,512.711763381958,627,64,"{
  ""objects"": [
       {""name"": ""airplane"", ""position"": ""top"", ""action"": ""flying"", ""relative_to"": ""in the clouds""},
       {""name"": ""clouds"", ""position"": ""top"", ""action"": null, ""relative_to"": null}
   ]
}"
10,dibuja una taza de cafe caliente en una mesa en el centro,draw,draw,True,410.3977680206299,629,62,"{
  ""objects"": [
       {""name"": ""cup of coffee"", ""position"": ""center"", ""action"": null, ""relative_to"": ""on a table""},
       {""name"": ""table"", ""position"": ""center"", ""action"": null, ""relative_to"": null}
   ]
}"
